FlightID,Code,seatsAvail,authLevel,resHoldTotal,reportDt,orig,dest,DptDt,Carrier,fltNr,opsSuffix,fltNrDptDt,fltNrArrDt,DptTime,ArrTime
74,Y,65,275,0,2016-05-28,SASOV,KOVYL,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,01:29:00
74,B,7,275,0,2016-05-28,SASOV,RUZVK,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,02:44:00
74,Y,65,275,0,2016-05-28,SASOV,RUZVK,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,02:44:00
74,B,6,275,0,2016-05-28,SASOV,INZA,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,04:32:00
74,Y,65,275,0,2016-05-28,SASOV,INZA,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,04:32:00
74,B,3,275,0,2016-05-28,SASOV,BARYS,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,05:25:00
74,Y,65,275,0,2016-05-28,SASOV,BARYS,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,05:25:00
74,B,3,275,0,2016-05-28,SASOV,SYZR1,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,07:08:00
74,Y,64,275,0,2016-05-28,SASOV,SYZR1,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,07:08:00
74,B,3,275,0,2016-05-28,SASOV,CHAPV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,08:24:00
74,Y,64,275,0,2016-05-28,SASOV,CHAPV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,08:24:00
74,B,3,275,1,2016-05-28,SASOV,KUF,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,09:09:00
74,Y,64,275,0,2016-05-28,SASOV,KUF,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,23:28:00,09:09:00
74,B,13,275,0,2016-05-28,ZUBVP,KOVYL,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,01:29:00
74,Y,68,275,0,2016-05-28,ZUBVP,KOVYL,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,01:29:00
74,B,12,275,0,2016-05-28,ZUBVP,RUZVK,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,02:44:00
74,Y,68,275,0,2016-05-28,ZUBVP,RUZVK,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,02:44:00
74,B,11,275,0,2016-05-28,ZUBVP,INZA,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,04:32:00
74,Y,68,275,0,2016-05-28,ZUBVP,INZA,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,04:32:00
74,B,6,275,0,2016-05-28,ZUBVP,BARYS,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,05:25:00
74,Y,68,275,0,2016-05-28,ZUBVP,BARYS,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,05:25:00
74,B,6,275,0,2016-05-28,ZUBVP,SYZR1,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,07:08:00
74,Y,67,275,0,2016-05-28,ZUBVP,SYZR1,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,07:08:00
74,B,6,275,0,2016-05-28,ZUBVP,CHAPV,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,08:24:00
74,Y,67,275,0,2016-05-28,ZUBVP,CHAPV,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,08:24:00
74,B,6,275,1,2016-05-28,ZUBVP,KUF,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,09:09:00
74,Y,67,275,0,2016-05-28,ZUBVP,KUF,2016-05-27,FPC,50,M,2016-05-26,2016-05-27,00:26:00,09:09:00
162,F,6,12,0,2016-05-28,KUF,RUZVK,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,00:16:00
162,C,19,54,0,2016-05-28,KUF,RUZVK,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,00:16:00
162,B,50,147,1,2016-05-28,KUF,RUZVK,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,00:16:00
162,Y,52,147,1,2016-05-28,KUF,RUZVK,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,00:16:00
162,F,6,12,0,2016-05-28,KUF,RZN1,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,04:57:00
162,C,12,54,1,2016-05-28,KUF,RZN1,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,04:57:00
162,B,44,147,8,2016-05-28,KUF,RZN1,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,04:57:00
162,Y,48,147,2,2016-05-28,KUF,RZN1,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,04:57:00
162,F,6,12,6,2016-05-28,KUF,MOWKZ,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,07:55:00
162,C,12,54,34,2016-05-28,KUF,MOWKZ,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,07:55:00
162,B,41,147,87,2016-05-28,KUF,MOWKZ,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,07:55:00
162,Y,47,147,91,2016-05-28,KUF,MOWKZ,2016-05-26,FPC,9,J,2016-05-26,2016-05-27,18:40:00,07:55:00
162,F,6,12,0,2016-05-28,RUZVK,RZN1,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,00:28:00,04:57:00
162,C,12,54,0,2016-05-28,RUZVK,RZN1,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,00:28:00,04:57:00
162,B,45,147,0,2016-05-28,RUZVK,RZN1,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,00:28:00,04:57:00
162,Y,48,147,0,2016-05-28,RUZVK,RZN1,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,00:28:00,04:57:00
162,F,6,12,0,2016-05-28,RUZVK,MOWKZ,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,00:28:00,07:55:00
162,C,12,54,7,2016-05-28,RUZVK,MOWKZ,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,00:28:00,07:55:00
162,B,42,147,6,2016-05-28,RUZVK,MOWKZ,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,00:28:00,07:55:00
162,Y,47,147,5,2016-05-28,RUZVK,MOWKZ,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,00:28:00,07:55:00
162,F,6,12,0,2016-05-28,RZN1,MOWKZ,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,04:59:00,07:55:00
162,C,13,54,0,2016-05-28,RZN1,MOWKZ,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,04:59:00,07:55:00
162,B,48,147,5,2016-05-28,RZN1,MOWKZ,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,04:59:00,07:55:00
162,Y,49,147,1,2016-05-28,RZN1,MOWKZ,2016-05-27,FPC,9,J,2016-05-26,2016-05-27,04:59:00,07:55:00
211,B,42,275,4,2016-05-28,KUF,KUZOV,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,20:20:00
211,Y,129,275,0,2016-05-28,KUF,KUZOV,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,20:20:00
211,B,38,275,9,2016-05-28,KUF,RUZVK,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,23:33:00
211,Y,125,275,4,2016-05-28,KUF,RUZVK,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,23:33:00
211,B,5,275,2,2016-05-28,KUF,KOVYL,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,01:03:00
211,Y,93,275,0,2016-05-28,KUF,KOVYL,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,01:03:00
211,B,3,275,1,2016-05-28,KUF,ZUBVP,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,02:24:00
211,Y,91,275,0,2016-05-28,KUF,ZUBVP,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,02:24:00
211,B,3,275,0,2016-05-28,KUF,SASOV,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,03:19:00
211,Y,87,275,1,2016-05-28,KUF,SASOV,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,03:19:00
211,B,0,275,6,2016-05-28,KUF,RZN1,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,05:27:00
211,Y,86,275,6,2016-05-28,KUF,RZN1,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,05:27:00
211,B,0,275,210,2016-05-28,KUF,MOWKZ,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,09:08:00
211,Y,85,275,134,2016-05-28,KUF,MOWKZ,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,17:02:00,09:08:00
211,B,40,275,0,2016-05-28,KUZOV,RUZVK,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,23:33:00
211,Y,125,275,0,2016-05-28,KUZOV,RUZVK,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,23:33:00
211,B,6,275,0,2016-05-28,KUZOV,KOVYL,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,01:03:00
211,Y,93,275,0,2016-05-28,KUZOV,KOVYL,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,01:03:00
211,B,3,275,0,2016-05-28,KUZOV,ZUBVP,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,02:24:00
211,Y,91,275,0,2016-05-28,KUZOV,ZUBVP,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,02:24:00
211,B,3,275,0,2016-05-28,KUZOV,SASOV,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,03:19:00
211,Y,87,275,0,2016-05-28,KUZOV,SASOV,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,03:19:00
211,B,0,275,0,2016-05-28,KUZOV,RZN1,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,05:27:00
211,Y,86,275,0,2016-05-28,KUZOV,RZN1,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,05:27:00
211,B,0,275,6,2016-05-28,KUZOV,MOWKZ,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,09:08:00
211,Y,85,275,4,2016-05-28,KUZOV,MOWKZ,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,20:22:00,09:08:00
211,B,9,275,0,2016-05-28,RUZVK,KOVYL,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,01:03:00
211,Y,96,275,0,2016-05-28,RUZVK,KOVYL,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,01:03:00
211,B,4,275,0,2016-05-28,RUZVK,ZUBVP,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,02:24:00
211,Y,93,275,0,2016-05-28,RUZVK,ZUBVP,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,02:24:00
211,B,4,275,0,2016-05-28,RUZVK,SASOV,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,03:19:00
211,Y,89,275,0,2016-05-28,RUZVK,SASOV,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,03:19:00
211,B,1,275,0,2016-05-28,RUZVK,RZN1,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,05:27:00
211,Y,88,275,0,2016-05-28,RUZVK,RZN1,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,05:27:00
211,B,0,275,40,2016-05-28,RUZVK,MOWKZ,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,09:08:00
211,Y,87,275,33,2016-05-28,RUZVK,MOWKZ,2016-05-26,FPC,49,J,2016-05-26,2016-05-27,23:48:00,09:08:00
211,B,5,275,0,2016-05-28,KOVYL,ZUBVP,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,01:05:00,02:24:00
211,Y,93,275,0,2016-05-28,KOVYL,ZUBVP,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,01:05:00,02:24:00
211,B,5,275,0,2016-05-28,KOVYL,SASOV,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,01:05:00,03:19:00
211,Y,89,275,0,2016-05-28,KOVYL,SASOV,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,01:05:00,03:19:00
211,B,1,275,4,2016-05-28,KOVYL,RZN1,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,01:05:00,05:27:00
211,Y,88,275,0,2016-05-28,KOVYL,RZN1,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,01:05:00,05:27:00
211,B,0,275,2,2016-05-28,KOVYL,MOWKZ,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,01:05:00,09:08:00
211,Y,87,275,3,2016-05-28,KOVYL,MOWKZ,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,01:05:00,09:08:00
211,B,5,275,0,2016-05-28,ZUBVP,SASOV,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,02:26:00,03:19:00
211,Y,89,275,0,2016-05-28,ZUBVP,SASOV,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,02:26:00,03:19:00
211,B,1,275,0,2016-05-28,ZUBVP,RZN1,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,02:26:00,05:27:00
211,Y,88,275,0,2016-05-28,ZUBVP,RZN1,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,02:26:00,05:27:00
